Date,CUSIP,Type,Name,MV%
2022-11-14,032095101,SELL,Amphenol Corporation Class A,0.00216294352886466
2022-11-14,060505104,SELL,Bank of America Corp,0.0019600395995812807
2022-11-14,256677105,SELL,Dollar General Corporation,0.007772578271023291
2022-11-14,38141G104,SELL,"Goldman Sachs Group, Inc.",0.0027609935565329237
2022-11-14,438516106,SELL,Honeywell International Inc.,0.003687876982802571
2022-11-14,46625H100,SELL,JPMorgan Chase & Co.,0.00212461148353152
2022-11-14,502431109,SELL,L3Harris Technologies Inc,0.004417273573573971
2022-11-14,539830109,SELL,Lockheed Martin Corporation,0.006018304981586294
2022-11-14,666807102,SELL,Northrop Grumman Corporation,0.006255335164821095
2022-11-14,701094104,SELL,Parker-Hannifin Corporation,0.0022227470947365833
2022-11-14,776696106,SELL,"Roper Technologies, Inc.",0.0037577136673362125
