Date,CUSIP,Type,Name,MV%
2025-09-30,N07059210,SELL,ASML Holding NV,0.004224991558718065
2025-09-30,037833100,SELL,Apple Inc,0.002220745214083563
2025-09-30,040413205,SELL,Arista Networks Inc,0.0024097808738349855
2025-09-30,24703L202,SELL,Dell Technologies Inc,0.005396996920962613
2025-09-30,458140100,SELL,Intel Corp.,0.000997326066964402
2025-09-30,573874104,SELL,Marvell Technology Inc,0.007626086826506961
2025-09-30,30303M102,SELL,Meta Platforms Inc,0.0038467799959712974
2025-09-30,594918104,SELL,Microsoft Corporation,0.0040674341722519575
2025-09-30,67066G104,SELL,NVIDIA Corp,0.004702089724991395
2025-09-30,68389X105,SELL,Oracle Corp.,0.003666688447402345
2025-09-30,697435105,SELL,Palo Alto Networks Inc,0.0049766932490451915
2025-09-30,907818108,SELL,Union Pacific Corp.,0.004537411651650708
