Date,CUSIP,Type,Name,MV%
2025-09-23,N07059210,SELL,ASML Holding NV,0.0033554906324533224
2025-09-23,040413205,SELL,Arista Networks Inc,0.0023797151848949324
2025-09-23,24703L202,SELL,Dell Technologies Inc,0.0031530636748459853
2025-09-23,26884L109,BUY,EQT Corp,-0.0024664335920996957
2025-09-23,369604301,SELL,GE Aerospace,0.00397137523818494
2025-09-23,36828A101,SELL,GE Vernova Inc.,0.0016342742814953075
2025-09-23,38141G104,SELL,"Goldman Sachs Group, Inc.",0.0035492355623116317
2025-09-23,573874104,SELL,Marvell Technology Inc,0.0027215025199624587
2025-09-23,68389X105,SELL,Oracle Corp.,0.004883223036351095
2025-09-23,697435105,SELL,Palo Alto Networks Inc,0.004442579680094838
2025-09-23,874039100,SELL,Taiwan Semiconductor Manufacturing,0.003429570599684629
