Date,CUSIP,Type,Name,MV%
2022-09-16,09260D107,BUY,Blackstone Group Inc.,-0.0030734395453233163
2022-09-16,518439104,BUY,Estee Lauder Companies Inc. Class A,-0.0024448197054577686
2022-09-16,46137Y609,BUY,Invesco S&P 500 Equal Weight Communication Services ETF,-0.00016705204555601968
2022-09-16,46137V373,BUY,Invesco S&P 500 Equal Weight Consumer Staples ETF,-0.00028544360322610895
2022-09-16,46137V332,BUY,Invesco S&P 500 Equal Weight Health Care ETF,-0.00029353641597074055
2022-09-16,46137V324,BUY,Invesco S&P 500 Equal Weight Industrials ETF,-0.0009063364898743596
2022-09-16,46137V282,BUY,Invesco S&P 500 Equal Weight Technology ETF,-0.0005201556609539546
2022-09-16,46982L108,BUY,Jacobs Engineering Group Inc.,-0.003408815656839991
2022-09-16,776696106,BUY,"Roper Technologies, Inc.",-0.0027807861679077493
2022-09-16,824348106,BUY,Sherwin-Williams Company,-0.004851880366193676
2022-09-16,907818108,BUY,Union Pacific Corporation,-0.0021499076576642516
