Date,CUSIP,Name,MV%
2025-05-07,N07059210,ASML Holding NV,0.026550406701975275
2025-05-07,02005N100,Ally Financial Inc,0.016054379507739365
2025-05-07,02079K305,Alphabet Inc,0.030088445314434206
2025-05-07,023135106,Amazon.com Inc.,0.03383471172345705
2025-05-07,031100100,Ametek Inc,0.010258620458259789
2025-05-07,03769M106,Apollo Global Management Inc,0.015239131415425707
2025-05-07,037833100,Apple Inc,0.02855140779740461
2025-05-07,09857L108,Booking Holdings Inc,0.021295052265640727
2025-05-07,11135F101,Broadcom Inc,0.027278722455485314
2025-05-07,15135B101,Centene Corp.,0.009798550137225446
2025-05-07,125523100,Cigna Group (The),0.020901505418484036
2025-05-07,81369Y852,Communication Services Select Sector SPDR Fund,0.005491285832677469
2025-05-07,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.0026516873461562285
2025-05-07,81369Y308,Consumer Staples Select Sector SPDR Fund,0.0015861130506618112
2025-05-07,22160K105,Costco Wholesale Corp,0.013414269479538124
2025-05-07,22788C105,Crowdstrike Holdings Inc,0.008657784747508314
2025-05-07,23804L103,Datadog Inc,0.009341481722528104
2025-05-07,24703L202,Dell Technologies Inc,0.018548615329707734
2025-05-07,253868103,Digital Realty Trust Inc,0.017984697491158545
2025-05-07,26884L109,EQT Corp,0.011443840699841256
2025-05-07,00B8KQN82,Eaton Corporation plc,0.01517120431981369
2025-05-07,81369Y506,Energy Select Sector SPDR Fund,0.0004951608643934924
2025-05-07,001158514,Ferrari N.V.,0.017095395545589434
2025-05-07,81369Y605,Financial Select Sector SPDR Fund,0.007498208777467853
2025-05-07,00BWT6H89,Flutter Entertainment Plc,0.016884934248747492
2025-05-07,369604301,GE Aerospace,0.02129210158637432
2025-05-07,36828A101,GE Vernova Inc.,0.014170985520987306
2025-05-07,38141G104,"Goldman Sachs Group, Inc.",0.014136622402030638
2025-05-07,81369Y209,Health Care Select Sector SPDR Fund,0.0066567324250083795
2025-05-07,437076102,"Home Depot, Inc.",0.019697577050720432
2025-05-07,81369Y704,Industrial Select Sector SPDR Fund,0.005772573677327237
2025-05-07,46625H100,JPMorgan Chase & Co.,0.014053071049886443
2025-05-07,532457108,Lilly(Eli) & Co,0.019894545137167048
2025-05-07,548661107,"Lowe`s Cos., Inc.",0.019464596333643915
2025-05-07,81369Y100,Materials Select Sector SPDR Fund,0.001705451634325279
2025-05-07,580135101,McDonald`s Corp,0.01238561965653024
2025-05-07,30303M102,Meta Platforms Inc,0.03363011080349143
2025-05-07,594918104,Microsoft Corporation,0.03729474175281041
2025-05-07,67066G104,NVIDIA Corp,0.023506832265749705
2025-05-07,62944T105,NVR Inc.,0.029079108097041506
2025-05-07,68389X105,Oracle Corp.,0.02203714810114144
2025-05-07,743315103,Progressive Corp.,0.035795796685476965
2025-05-07,74762E102,"Quanta Services, Inc.",0.01525044235261359
2025-05-07,81369Y860,Real Estate Select Sector SPDR Fund,0.00012773982324142485
2025-05-07,776696106,Roper Technologies Inc,0.020593436061326
2025-05-07,78409V104,S&P Global Inc,0.0290147668963713
2025-05-07,79466L302,Salesforce Inc,0.01852878020797246
2025-05-07,81762P102,ServiceNow Inc,0.018133583849142536
2025-05-07,824348106,Sherwin-Williams Co.,0.02089207963749413
2025-05-07,863667101,Stryker Corp.,0.01928078335892669
2025-05-07,87256C101,TKO Group Holdings Inc,0.014255223315877506
2025-05-07,874039100,Taiwan Semiconductor Manufacturing,0.016988228513899882
2025-05-07,81369Y803,Technology Select Sector SPDR Fund,0.02918602923879219
2025-05-07,CASHUSD,U.S. Dollar,0.004765205816997811
2025-05-07,907818108,Union Pacific Corp.,0.022567112637298735
2025-05-07,91324P102,Unitedhealth Group Inc,0.013395417917558317
2025-05-07,81369Y886,Utilities Select Sector SPDR Fund,0.00016546343802927583
2025-05-07,92826C839,Visa Inc,0.01146994601501764
2025-05-07,929160109,Vulcan Materials Co,0.01498002489234457
2025-05-07,931142103,Walmart Inc,0.013365716462026004
