Date,CUSIP,Name,MV%
2022-05-18,031100100,"AMETEK, Inc.",0.01621750837124029
2022-05-18,N07059210,ASML Holding NV ADR,0.015338485134567625
2022-05-18,002824100,Abbott Laboratories,0.025695054685706147
2022-05-18,00724F101,Adobe Inc.,0.014439893207793314
2022-05-18,009066101,"Airbnb, Inc. Class A",0.009566345778376659
2022-05-18,02079K305,Alphabet Inc. Class A,0.01851844082658205
2022-05-18,023135106,"Amazon.com, Inc.",0.020058647712638607
2022-05-18,024013104,"American Assets Trust, Inc.",0.011077431898599461
2022-05-18,032095101,Amphenol Corporation Class A,0.014701965583464665
2022-05-18,037833100,Apple Inc.,0.013900970321047442
2022-05-18,053484101,"AvalonBay Communities, Inc.",0.011704050969992242
2022-05-18,060505104,Bank of America Corp,0.0135194679650599
2022-05-18,09260D107,Blackstone Group Inc.,0.012776119044180979
2022-05-18,09857L108,Booking Holdings Inc.,0.020835515999574422
2022-05-18,14448C104,Carrier Global Corp.,0.011497795814974317
2022-05-18,150870103,Celanese Corporation,0.010543401184378999
2022-05-18,15135B101,Centene Corporation,0.026708431206422377
2022-05-18,171779309,Ciena Corporation,0.012330916827536155
2022-05-18,22052L104,Corteva Inc,0.014752034138479926
2022-05-18,22788C105,"CrowdStrike Holdings, Inc. Class A",0.008444441418491376
2022-05-18,22822V101,Crown Castle International Corp,0.006877233224134333
2022-05-18,235851102,Danaher Corporation,0.019803282113545116
2022-05-18,23804L103,Datadog Inc Class A,0.009972279963326416
2022-05-18,244199105,Deere & Company,0.008563072973024489
2022-05-18,256677105,Dollar General Corporation,0.012038315553286348
2022-05-18,25960P109,"Douglas Emmett, Inc",0.012563520033395684
2022-05-18,28176E108,Edwards Lifesciences Corporation,0.01044133333563667
2022-05-18,81369Y506,Energy Select Sector SPDR Fund,-0.00011863155453311246
2022-05-18,518439104,Estee Lauder Companies Inc. Class A,0.011641846343074181
2022-05-18,30303M102,"Facebook, Inc. Class A",0.01618615201321392
2022-05-18,313745101,Federal Realty Investment Trust,0.014495579776954965
2022-05-18,369604301,General Electric Company,0.013099989575462639
2022-05-18,38141G104,"Goldman Sachs Group, Inc.",0.012912969223400711
2022-05-18,438516106,Honeywell International Inc.,0.021670712919172268
2022-05-18,452327109,"Illumina, Inc.",0.010791972905900105
2022-05-18,458140100,Intel Corporation,0.00934477536515604
2022-05-18,46137Y609,Invesco S&P 500 Equal Weight Communication Services ETF,0.0008687453193195769
2022-05-18,46137V381,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,0.00197810713599431
2022-05-18,46137V340,Invesco S&P 500 Equal Weight Financials ETF,0.002600385674493625
2022-05-18,46137V332,Invesco S&P 500 Equal Weight Health Care ETF,0.003746954132659838
2022-05-18,46137V324,Invesco S&P 500 Equal Weight Industrials ETF,0.0038748183926118267
2022-05-18,46137V316,Invesco S&P 500 Equal Weight Materials ETF,0.0010125345444358862
2022-05-18,46137V290,Invesco S&P 500 Equal Weight Real Estate ETF,0.0015867768844586873
2022-05-18,46137V282,Invesco S&P 500 Equal Weight Technology ETF,0.003689017454473145
2022-05-18,46137V274,Invesco S&P 500 Equal Weight Utilities ETF,1.7158895919987633e-05
2022-05-18,46625H100,JPMorgan Chase & Co.,0.013423613320593166
2022-05-18,469814107,Jacobs Engineering Group Inc.,0.0151610894423999
2022-05-18,478160104,Johnson & Johnson,0.012228979630285602
2022-05-18,487836108,Kellogg Company,0.00010063068233278702
2022-05-18,502431109,L3Harris Technologies Inc,0.00483396002740836
2022-05-18,539439109,Lloyds Banking Group plc Sponsored ADR,0.01499391360025559
2022-05-18,539830109,Lockheed Martin Corporation,0.005674586242331138
2022-05-18,55261F104,M&T Bank Corporation,0.027181462190815603
2022-05-18,57636Q104,Mastercard Incorporated Class A,0.017066714034123062
2022-05-18,594918104,Microsoft Corporation,0.0184421839058818
2022-05-18,62944T105,"NVR, Inc.",0.01879537843865109
2022-05-18,666807102,Northrop Grumman Corporation,0.005942944406440184
2022-05-18,G66721104,Norwegian Cruise Line Holdings Ltd.,0.008724906620838382
2022-05-18,693475105,"PNC Financial Services Group, Inc.",0.011318048395954619
2022-05-18,701094104,Parker-Hannifin Corporation,0.010322121107806774
2022-05-18,743315103,Progressive Corporation,0.016244335477551743
2022-05-18,75513E101,Raytheon Technologies Corporation,0.0099485884928176
2022-05-18,75886F107,"Regeneron Pharmaceuticals, Inc.",0.016268143082719917
2022-05-18,776696106,"Roper Technologies, Inc.",0.01732281999166995
2022-05-18,78410G104,SBA Communications Corp. Class A,0.014134734873500539
2022-05-18,81762P102,"ServiceNow, Inc.",0.014961410412468065
2022-05-18,824348106,Sherwin-Williams Company,0.01696248317735021
2022-05-18,863667101,Stryker Corporation,0.010449956334093922
2022-05-18,872590104,"T-Mobile US, Inc.",0.019635351396114983
2022-05-18,874039100,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",0.010645091595478419
2022-05-18,883556102,Thermo Fisher Scientific Inc.,0.023611773098831713
2022-05-18,CASHUSD,U.S. Dollar,0.040673986914904696
2022-05-18,90353T100,"Uber Technologies, Inc.",0.009292369600121222
2022-05-18,907818108,Union Pacific Corporation,0.02090330960697404
2022-05-18,91324P102,UnitedHealth Group Incorporated,0.027371777863836787
2022-05-18,92826C839,Visa Inc. Class A,0.012483851657076822
2022-05-18,929160109,Vulcan Materials Company,0.009554587144116769
2022-05-18,79466L302,"salesforce.com, inc.",0.01301841949409681
