Date,CUSIP,Name,MV%
2024-12-31,N07059210,ASML Holding NV,0.025697530648463824
2024-12-31,00724F101,Adobe Inc.,0.01871557563683119
2024-12-31,007903107,Advanced Micro Devices Inc.,0.01888260383405525
2024-12-31,02005N100,Ally Financial Inc,0.017393078678560953
2024-12-31,02079K305,Alphabet Inc,0.029592490320280312
2024-12-31,023135106,Amazon.com Inc.,0.021545134308379628
2024-12-31,031100100,Ametek Inc,0.0072254626425748425
2024-12-31,037833100,Apple Inc,0.022835824961274946
2024-12-31,09857L108,Booking Holdings Inc,0.019915196439932153
2024-12-31,15135B101,Centene Corp.,0.009227395995624648
2024-12-31,125523100,Cigna Group (The),0.016879728517330196
2024-12-31,81369Y852,Communication Services Select Sector SPDR Fund,0.004559575170046116
2024-12-31,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.0029226427202654025
2024-12-31,81369Y308,Consumer Staples Select Sector SPDR Fund,0.0014967101337406191
2024-12-31,22160K105,Costco Wholesale Corp,0.007345472823157718
2024-12-31,22788C105,Crowdstrike Holdings Inc,0.006857495555817731
2024-12-31,23804L103,Datadog Inc,0.007016236476877626
2024-12-31,81369Y506,Energy Select Sector SPDR Fund,0.0005150336707780103
2024-12-31,001158514,Ferrari N.V.,0.014900462417827356
2024-12-31,81369Y605,Financial Select Sector SPDR Fund,0.006538179890798249
2024-12-31,369604301,GE Aerospace,0.016546704274568783
2024-12-31,36828A101,GE Vernova Inc.,0.011206982763612679
2024-12-31,38141G104,"Goldman Sachs Group, Inc.",0.00803342697457518
2024-12-31,81369Y209,Health Care Select Sector SPDR Fund,0.006065724982319556
2024-12-31,437076102,"Home Depot, Inc.",0.011304275586197777
2024-12-31,81369Y704,Industrial Select Sector SPDR Fund,0.004753268955991874
2024-12-31,46625H100,JPMorgan Chase & Co.,0.008407376532759145
2024-12-31,532457108,Lilly(Eli) & Co,0.0193403180131053
2024-12-31,548661107,"Lowe`s Cos., Inc.",0.016322827567454387
2024-12-31,81369Y100,Materials Select Sector SPDR Fund,0.0013490523172001493
2024-12-31,580135101,McDonald`s Corp,0.011038832226690448
2024-12-31,30303M102,Meta Platforms Inc,0.02346932559555085
2024-12-31,595112103,Micron Technology Inc.,0.016108140016618755
2024-12-31,594918104,Microsoft Corporation,0.027877114342309658
2024-12-31,000496514,Moncler SpA,0.005817883657092452
2024-12-31,67066G104,NVIDIA Corp,0.014802758738745607
2024-12-31,682189105,ON Semiconductor Corp.,0.013584068181665916
2024-12-31,743315103,Progressive Corp.,0.025451718212784306
2024-12-31,81369Y860,Real Estate Select Sector SPDR Fund,8.150992057958473e-05
2024-12-31,75886F107,"Regeneron Pharmaceuticals, Inc.",0.012848725240671264
2024-12-31,776696106,Roper Technologies Inc,0.018232759127924752
2024-12-31,78409V104,S&P Global Inc,0.024454449244729268
2024-12-31,78462F103,SPDR S&P 500 ETF Trust,0.06636538936096609
2024-12-31,79466L302,Salesforce Inc,0.009380795782228077
2024-12-31,81762P102,ServiceNow Inc,0.009561011470905633
2024-12-31,824348106,Sherwin-Williams Co.,0.019757126918513127
2024-12-31,863667101,Stryker Corp.,0.007216043005822346
2024-12-31,874039100,Taiwan Semiconductor Manufacturing,0.015238497105669884
2024-12-31,81369Y803,Technology Select Sector SPDR Fund,0.03774692956445459
2024-12-31,CASHUSD,U.S. Dollar,0.19460408694331655
2024-12-31,907818108,Union Pacific Corp.,0.023537187063729478
2024-12-31,91324P102,Unitedhealth Group Inc,0.022524135193668922
2024-12-31,81369Y886,Utilities Select Sector SPDR Fund,0.00015169623527584874
2024-12-31,92826C839,Visa Inc,0.010134406805988476
2024-12-31,929160109,Vulcan Materials Co,0.014177204670368353
2024-12-31,931142103,Walmart Inc,0.011951114025279607
