Date,CUSIP,Type,Name,MV%
2023-03-31,81369Y852,BUY,Communication Services Select Sector SPDR Fund,-0.0013347768462175335
2023-03-31,81369Y407,BUY,Consumer Discretionary Select Sector SPDR Fund,-0.0009561082507338647
2023-03-31,81369Y308,BUY,Consumer Staples Select Sector SPDR Fund,-0.0006713048403859088
2023-03-31,81369Y506,BUY,Energy Select Sector SPDR Fund,-0.00010641317996445088
2023-03-31,81369Y605,BUY,Financial Select Sector SPDR Fund,-0.0017298454390492347
2023-03-31,81369Y209,BUY,Health Care Select Sector SPDR Fund,-0.0028244711850588587
2023-03-31,81369Y704,BUY,Industrial Select Sector SPDR Fund,-0.0018153367056647424
2023-03-31,46137Y609,SELL,Invesco S&P 500 Equal Weight Communication Services ETF,0.0001945068027970072
2023-03-31,46137V381,SELL,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,0.0005198399787827552
2023-03-31,46137V373,SELL,Invesco S&P 500 Equal Weight Consumer Staples ETF,0.0002625030211810716
2023-03-31,46137V340,SELL,Invesco S&P 500 Equal Weight Financials ETF,0.0005605501057425209
2023-03-31,46137V332,SELL,Invesco S&P 500 Equal Weight Health Care ETF,0.001050785061818459
2023-03-31,46137V324,SELL,Invesco S&P 500 Equal Weight Industrials ETF,0.0010203168813564826
2023-03-31,46137V316,SELL,Invesco S&P 500 Equal Weight Materials ETF,0.00022304254052355184
2023-03-31,46137V290,SELL,Invesco S&P 500 Equal Weight Real Estate ETF,0.00032034747372833365
2023-03-31,46137V282,SELL,Invesco S&P 500 Equal Weight Technology ETF,0.0011997892796718295
2023-03-31,81369Y100,BUY,Materials Select Sector SPDR Fund,-0.0006191546524323861
2023-03-31,81369Y860,BUY,Real Estate Select Sector SPDR Fund,-0.0003320451937534815
2023-03-31,81369Y803,BUY,Technology Select Sector SPDR Fund,-0.003677271047156533
2023-03-31,81369Y886,BUY,Utilities Select Sector SPDR Fund,-8.658631749891941e-05
