Date,CUSIP,Type,Name,MV%
2023-03-20,150870103,BUY,Celanese Corporation,-0.0011052369634116904
2023-03-20,81369Y852,BUY,Communication Services Select Sector SPDR Fund,-0.002150254583392641
2023-03-20,81369Y407,BUY,Consumer Discretionary Select Sector SPDR Fund,-0.0015193098337676462
2023-03-20,81369Y308,BUY,Consumer Staples Select Sector SPDR Fund,-0.0011690736470064214
2023-03-20,81369Y506,BUY,Energy Select Sector SPDR Fund,-0.00010392269095805246
2023-03-20,81369Y605,BUY,Financial Select Sector SPDR Fund,-0.002825145364566387
2023-03-20,81369Y209,BUY,Health Care Select Sector SPDR Fund,-0.004612755866479498
2023-03-20,81369Y704,BUY,Industrial Select Sector SPDR Fund,-0.0028857556989205545
2023-03-20,46137Y609,SELL,Invesco S&P 500 Equal Weight Communication Services ETF,0.0007117113402041611
2023-03-20,46137V381,SELL,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,0.0009380500683312783
2023-03-20,46137V373,SELL,Invesco S&P 500 Equal Weight Consumer Staples ETF,0.0007328288948029672
2023-03-20,46137V340,SELL,Invesco S&P 500 Equal Weight Financials ETF,0.00162251795510702
2023-03-20,46137V332,SELL,Invesco S&P 500 Equal Weight Health Care ETF,0.0029356894194004653
2023-03-20,46137V324,SELL,Invesco S&P 500 Equal Weight Industrials ETF,0.0027832538581922836
2023-03-20,46137V316,SELL,Invesco S&P 500 Equal Weight Materials ETF,0.0005732067154890035
2023-03-20,46137V290,SELL,Invesco S&P 500 Equal Weight Real Estate ETF,0.0008876437733011547
2023-03-20,46137V282,SELL,Invesco S&P 500 Equal Weight Technology ETF,0.0032537725349858116
2023-03-20,81369Y100,BUY,Materials Select Sector SPDR Fund,-0.0010314070911119635
2023-03-20,693475105,BUY,"PNC Financial Services Group, Inc.",-0.00359775017048306
2023-03-20,81369Y860,BUY,Real Estate Select Sector SPDR Fund,-0.0005836550715586522
2023-03-20,81369Y803,BUY,Technology Select Sector SPDR Fund,-0.005936978756635867
2023-03-20,81369Y886,BUY,Utilities Select Sector SPDR Fund,-8.998184217099664e-05
2023-03-20,929160109,BUY,Vulcan Materials Company,-0.001752502213478398
