Date,CUSIP,Type,Name,MV%
2023-03-13,002824100,BUY,Abbott Laboratories,-0.0012250393895647065
2023-03-13,02079K305,BUY,Alphabet Inc. Class A,-0.00127115237795031
2023-03-13,023135106,BUY,"Amazon.com, Inc.",-0.0012951314081191998
2023-03-13,15135B101,BUY,Centene Corporation,-0.0006233470631244656
2023-03-13,22052L104,BUY,Corteva Inc,-0.009596887647538936
2023-03-13,22160K105,BUY,Costco Wholesale Corporation,-0.0006561744286208954
2023-03-13,235851102,BUY,Danaher Corporation,-0.001336738056849151
2023-03-13,28176E108,BUY,Edwards Lifesciences Corporation,-0.001374343827251666
2023-03-13,46982L108,BUY,Jacobs Engineering Group Inc.,-0.0009648925305591333
2023-03-13,478160104,BUY,Johnson & Johnson,-0.0008485121313002296
2023-03-13,538034109,BUY,"Live Nation Entertainment, Inc.",-0.0012912189164721072
2023-03-13,872590104,BUY,"T-Mobile US, Inc.",-0.0011669113368198715
2023-03-13,883556102,BUY,Thermo Fisher Scientific Inc.,-0.001508898737656258
2023-03-13,91324P102,BUY,UnitedHealth Group Incorporated,-0.0006443944175897028
2023-03-13,931142103,BUY,Walmart Inc.,-0.0011433286656706485
