Date,CUSIP,Type,Name,MV%
2026-02-05,101137107,SELL,Boston Scientific Corp.,0.014691408315690702
2026-02-05,11135F101,SELL,Broadcom Inc,0.009266323693816074
2026-02-05,21037T109,SELL,Constellation Energy Corporation,0.00840620989290983
2026-02-05,22788C105,SELL,Crowdstrike Holdings Inc,0.010788419920780674
2026-02-05,23804L103,SELL,Datadog Inc,0.009913216075381702
2026-02-05,24703L202,SELL,Dell Technologies Inc,0.011998456604865195
2026-02-05,458140100,SELL,Intel Corp.,0.008236027749850487
2026-02-05,548661107,SELL,"Lowe`s Cos., Inc.",0.003516242202359434
2026-02-05,595112103,SELL,Micron Technology Inc.,0.00923624687679426
2026-02-05,697435105,SELL,Palo Alto Networks Inc,0.011521984440221998
2026-02-05,824348106,SELL,Sherwin-Williams Co.,0.0033225149655008506
2026-02-05,177876291,SELL,Spotify Technology S.A.,0.012192224053815814
2026-02-05,907818108,SELL,Union Pacific Corp.,0.003909894821717497
2026-02-05,931142103,SELL,Walmart Inc,0.004376638401821125
2026-02-05,46438F101,SELL,iShares Bitcoin Trust ETF,0.016567284131024464
