Date,CUSIP,Type,Name,MV%
2023-12-11,00724F101,SELL,Adobe Inc.,0.006423970331385814
2023-12-11,007903107,SELL,"Advanced Micro Devices, Inc.",0.005351960426950801
2023-12-11,02079K305,SELL,Alphabet Inc. Class A,0.003921618394269347
2023-12-11,023135106,SELL,"Amazon.com, Inc.",0.005148026486170466
2023-12-11,037833100,SELL,Apple Inc.,0.004608497487193868
2023-12-11,09857L108,SELL,Booking Holdings Inc.,0.007616810384666436
2023-12-11,22160K105,SELL,Costco Wholesale Corporation,0.0028432202662500594
2023-12-11,30303M102,SELL,"Facebook, Inc. Class A",0.003697205731402283
2023-12-11,594918104,SELL,Microsoft Corporation,0.005051827689168059
2023-12-11,81762P102,SELL,"ServiceNow, Inc.",0.005614639857450484
2023-12-11,824348106,SELL,Sherwin-Williams Company,0.0019845929574248437
2023-12-11,79466L302,SELL,"salesforce.com, inc.",0.004885637170900346
