Date,CUSIP,Type,Name,MV%
2026-03-19,007903107,BUY,Advanced Micro Devices Inc.,-0.0035702550663953797
2026-03-19,03769M106,SELL,Apollo Global Management Inc,0.00939004977345063
2026-03-19,247361702,BUY,"Delta Air Lines, Inc.",-0.0019559501524652806
2026-03-19,38141G104,BUY,"Goldman Sachs Group, Inc.",-0.0023534930251036708
2026-03-19,437076102,BUY,"Home Depot, Inc.",-0.0015941452065379906
2026-03-19,548661107,BUY,"Lowe`s Cos., Inc.",-0.002002922197230434
2026-03-19,67066G104,BUY,NVIDIA Corp,-0.003626088327691485
2026-03-19,907818108,BUY,Union Pacific Corp.,-0.0029384446637047298
2026-03-19,910047109,BUY,United Airlines Holdings Inc,-0.002183764550245103
2026-03-19,929160109,BUY,Vulcan Materials Co,-0.0017159702607016044
